All Companies,Screener,Symbol,Lot Size (Feb 2026),Lot Size (Mar 2026),Lot Size (Apr 2026)
Bank of Baroda,https://scanx.trade/company/bankbaroda,BANKBARODA,2925,2925,2925
Bank of India,https://scanx.trade/company/bankindia,BANKINDIA,5200,5200,5200
Bharat Dynamics,https://scanx.trade/company/bdl,BDL,350,350,350
Bharat Electronics,https://scanx.trade/company/bel,BEL,1425,1425,1425
Bharat Forge,https://scanx.trade/company/bharatforg,BHARATFORG,500,500,500
Bharti Airtel,https://scanx.trade/company/bhartiartl,BHARTIARTL,475,475,475
BHEL,https://scanx.trade/company/bhel,BHEL,2625,2625,2625
Biocon,https://scanx.trade/company/biocon,BIOCON,2500,2500,2500
Blue Star,https://scanx.trade/company/bluestarco,BLUESTARCO,325,325,325
Bosch,https://scanx.trade/company/boschltd,BOSCHLTD,25,25,25
Bharat Petroleum,https://scanx.trade/company/bpcl,BPCL,1975,1975,1975
Britannia,https://scanx.trade/company/britannia,BRITANNIA,125,125,125
BSE,https://scanx.trade/company/bse,BSE,375,375,375
CAMS,https://scanx.trade/company/cams,CAMS,750,750,750
Canara Bank,https://scanx.trade/company/canbk,CANBK,6750,6750,6750
CDSL,https://scanx.trade/company/cdsl,CDSL,475,475,475
CG Power,https://scanx.trade/company/cgpower,CGPOWER,850,850,850
Cholamandalam,https://scanx.trade/company/cholafin,CHOLAFIN,625,625,625
Cipla,https://scanx.trade/company/cipla,CIPLA,375,375,375
Coal India,https://scanx.trade/company/coalindia,COALINDIA,1350,1350,1350
Cochin Shipyard,https://scanx.trade/company/cochinship,COCHINSHIP,400,400,400
Coforge,https://scanx.trade/company/coforge,COFORGE,375,375,375
Colgate Palmolive,https://scanx.trade/company/colpal,COLPAL,225,225,225
Container Corp,https://scanx.trade/company/concor,CONCOR,1250,1250,1250
Crompton Greaves,https://scanx.trade/company/crompton,CROMPTON,1800,1800,1800
Cummins,https://scanx.trade/company/cumminsind,CUMMINSIND,200,200,200
Dabur,https://scanx.trade/company/dabur,DABUR,1250,1250,1250
Dalmia Bharat,https://scanx.trade/company/dalbharat,DALBHARAT,325,325,325
Delhivery,https://scanx.trade/company/delhivery,DELHIVERY,2075,2075,2075
Divis Labs,https://scanx.trade/company/divislab,DIVISLAB,100,100,100
Dixon Technologies,https://scanx.trade/company/dixon,DIXON,50,50,50
DLF,https://scanx.trade/company/dlf,DLF,825,825,825
Avenue Supermarts DMart,https://scanx.trade/company/dmart,DMART,150,150,150
Dr Reddys,https://scanx.trade/company/drreddy,DRREDDY,625,625,625
Eicher Motors,https://scanx.trade/company/eichermot,EICHERMOT,100,100,100
Eternal (Zomato),https://scanx.trade/company/eternal,ETERNAL,2425,2425,2425
Exide Industries,https://scanx.trade/company/exideind,EXIDEIND,1800,1800,1800
Federal Bank,https://scanx.trade/company/federalbnk,FEDERALBNK,2500,2500,2500
Force Motors,https://scanx.trade/company/forcemot,FORCEMOT,25,25,25
Fortis Healthcare,https://scanx.trade/company/fortis,FORTIS,775,775,775
GAIL,https://scanx.trade/company/gail,GAIL,3150,3150,3150
Glenmark Pharma,https://scanx.trade/company/glenmark,GLENMARK,375,375,375
GMR Airports,https://scanx.trade/company/gmrairport,GMRAIRPORT,6975,6975,6975
Godfrey Phillips,https://scanx.trade/company/godfryphlp,GODFRYPHLP,275,275,275
Godrej Consumer,https://scanx.trade/company/godrejcp,GODREJCP,500,500,500
Godrej Properties,https://scanx.trade/company/godrejprop,GODREJPROP,275,275,275
Grasim Industries,https://scanx.trade/company/grasim,GRASIM,250,250,250
Hindustan Aeronautics,https://scanx.trade/company/hal,HAL,150,150,150
Havells,https://scanx.trade/company/havells,HAVELLS,500,500,500
